Sample name,Language name,Script name,Dialect (For Audio),Source,Sample size,Sample type,Download link
Malayalam-Image-001,Malayalam,News about spreading communal violence in the state of Uttar Pradesh,,http://www.mathrubhumi.com/news/india/kasganj-violence-shops-torched-internet-shut-down-1.2560323,655 kb,Image,https://drive.google.com/open?id=1vHXn0kmn1egZE_zIPBPtkq1lik8kY31V
Malayalam-Image-002,Malayalam,Medicinal values of a herb,,https://urmponline.wordpress.com/2015/09/26/07-mp-adhatoda/,734 kb,Image,https://drive.google.com/open?id=1m8FkmsxKzvO6Iu6diL81k-mhckM_gox1
Malayalam-Image-003,Malayalam,How to buy and sell stocks,,http://www.mathrubhumi.com/money/personal-finance/savings-centre/lesson-stock-market-malayalam-news-1.1506313,573 kb,Image,https://drive.google.com/open?id=12PHu3YspfS_xqEA2x18KNA3MdYXyN9s-
Malayalam-Image-004,Malayalam,About India's 100th satellite,,http://www.manoramaonline.com/news/latest-news/2018/01/11/countdown-begins-for-isro-s-100th-satellite-launch.html,390 kb,Image,https://drive.google.com/open?id=14OREX0OSRzp7tDPqTvVhX1xxQkZ26r81
Malayalam-Image-005,Malayalam,Physical Excercise tips,,http://malayalam.webdunia.com/article/health-beauty-in-malayalam/വ്യായാമംചെയ്യുമ്പോൾ-108120600059_1.htm,306 kb,Image,https://drive.google.com/open?id=1RMyU4u2sdOHEUrsJnRNFnH8dyussySyu
Malayalam-Audio-001,Malayalam,"General no trace of regional dialects, debate on TV about Gold smuggling",Normal,https://youtu.be/1TEsl6GjILM,471 kb,Audio,https://drive.google.com/open?id=17Mq2PdGynVzp--l72fJYtuOy_XeODDgh
Malayalam-Audio-002,Malayalam,About visa requirements,Normal,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=1K2JJBfqwF1ad-3iH6vZkUpg5cRmH5ijj
Malayalam-Audio-003,Malayalam,About a falcon that was rescued,Malabar dialect,Nandakumar Gopalan,783 kb,Audio,https://drive.google.com/open?id=1zda_yra8KrYXbjrTBM1FiZf56xjOAiA-
Malayalam-Audio-004,Malayalam,Speech about reading habit,"Prattling Kid, hard to understand",Nandakumar Gopalan,471 kb,Audio,https://drive.google.com/open?id=17oOkk56cWXpGq-62xd-DaY4B6YjBv1JG
Malayalam-Audio-005,Malayalam,Poem about guava tree,"Poetry by Kid, hard to understand",Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=142MtntY1uwyx9opjy_f69wgPewf-HPbd
Tamil-Image-001,Tamil,Medicinal values of garlic,,http://owshadham.blogspot.in/2015/02/blog-post_54.html,317 kb,Image,https://drive.google.com/open?id=1DQlb7VCPNdz4Wd6RRIa9DsGTf-NqQ6HE
Tamil-Image-002,Tamil,Medicinal values of a herb,,http://owshadham.blogspot.in/2015/08/blog-post_50.html,372 kb,Image,https://drive.google.com/open?id=1fCh5t1tyWDCdmKnjMczlO5uB6LACnWhs
Tamil-Image-003,Tamil,About Airbus A380,,https://tamil.drivespark.com/off-beat/fun-facts-about-airbus-a380-plane-011459.html,305 kb,Image,https://drive.google.com/open?id=1xuCoW5ewGHyNMqTcf2zE5W5s7FcOHu94
Tamil-Image-004,Tamil,About stock market,,http://sharemakt.blogspot.in/p/blog-page_16.html,296 kb,Image,https://drive.google.com/open?id=1qQ3YG-mB2EjuGuKhIi-MX9LYdnGj8jpa
Tamil-Image-005,Tamil,About summer,,http://www.pasumaikudil.com/பயனுள்ள-தகவல்/கோடைகாலம்/,341 kb,Image,https://drive.google.com/open?id=16M4yvbZvWY1HvJK5jWLXj9UE6YnPDJ8x
Kannada-Image-001,Kannada,Medicinal values of a herb,,https://vijaykarnataka.indiatimes.com/lavalavk/health/article/goat-leaves/articleshow/52219886.cms,261 kb,Image,https://drive.google.com/open?id=11fng181zciL9hBqfwNs1sFYIRguHkylS
Kannada-Image-002,Kannada,About wooden toys,,http://www.prajavani.net/news/article/2017/11/15/533367.html,360 kb,Image,https://drive.google.com/open?id=17W4Ah58KYwyRpNDL2NkOM-aWwu0MrYmk
Kannada-Image-003,Kannada,Science Exhibition,,http://www.prajavani.net/news/article/2018/01/24/549545.html,362 kb,Image,https://drive.google.com/open?id=1GcKAVC0C7NZc2bubDMlKHFcVfau43qxI
Kannada-Image-004,Kannada,About Cricket,,http://www.prajavani.net/news/article/2018/01/28/550220.html,360 kb,Image,https://drive.google.com/open?id=1zvP-CGsoRz1ne8uybmjDGm_9WbNCL7ix
Kannada-Image-005,Kannada,Village culture,,https://vijaykarnataka.indiatimes.com/lavalavk/tourism/celebrity-travel/articleshow/62667152.cms,332 kb,Image,https://drive.google.com/open?id=1mCYHqonAAShPDnaZtUpIlJDK7AwNr4GN
Telugu-Image-001,Telugu,Medicinal values of a herb,,https://glosbe.com/te/te/అడ్డసరం,349 kb,Image,https://drive.google.com/open?id=1rKyxaC8QDhavqypQbn-xJxuPIX0PH6lP
Telugu-Image-002,Telugu,Medical courses,,https://telugu.oneindia.com/news/india/draft-bill-allows-ayurveda-homeopathy-switch-modern-medicine-after-bridge-course/articlecontent-pf163441-218993.html,388 kb,Image,https://drive.google.com/open?id=1ugBBdRAC5a7IfieHLrfZ3lxl_6X5gid2
Telugu-Image-003,Telugu,Skin dieseases,,http://www.prajasakti.com/Article/Deepika/1941582,271 kb,Image,https://drive.google.com/open?id=1VAm04U1QTxYmB86t-MMtWDHR0LyHjMWN
Telugu-Image-004,Telugu,Health tips - Immunity,,https://www.ntnews.com/health/best-immunity-boosting-foods-1-1-467191.html,334 kb,Image,https://drive.google.com/open?id=1I7TiX9qy1vwb6BQeBN4he-e5yNdPGSgH
Telugu-Image-005,Telugu,Cinema News - Gang,,https://www.ntnews.com/CinemaNews-in-Telugu/gang-movie-pre-release-event-2-2-477802.html,370 kb,Image,https://drive.google.com/open?id=1GqruxBkKVWLJ2l8CIFZdOPM_1-O4O7eE
Tamil-Audio-001,Tamil,Book Exhihibion,Srilankan Tamil,Nandakumar Gopalan,75 kb,Audio,https://drive.google.com/open?id=1-ROJPyi0RSjaDBBDbeO4TjQbl2pz8tXk
Tamil-Audio-002,Tamil,Fruits,Madurai Dialect,Nandakumar Gopalan,471 kb,Audio,https://drive.google.com/open?id=15gBAZje_CYQjeclQxE0GDP-Fx0UDta-N
Tamil-Audio-003,Tamil,Exotic fruits,Madurai Dialect,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=1TpC31GFKxFyb6T-C24k_YuT5G6kY4I0H
Tamil-Audio-004,Tamil,Plantains,Madurai Dialect,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=1Y4k4A5DabNWeLpjejl4hkC_yXmR7NYc9
Tamil-Audio-005,Tamil,Book Exhihibion,Srilankan Tamil,Nandakumar Gopalan,73 kb,Audio,https://drive.google.com/open?id=1hGRcs0SOgcKbASG6-OhpmMu697CG4ET9
Malayalam-Image-006,Malayalam,Cricket News,,http://www.mangalam.com/news/detail/187592-latest-news.html,156 kb,Image,https://drive.google.com/open?id=1VPd-uqkeRMYClC1jujGyNSe9bibD32_c
Malayalam-Image-007,Malayalam,Cinema News,,http://www.doolnews.com/rana-daggubati-kicks-off-his-journey-as-marthanda-varma.html,208 kb,Image,https://drive.google.com/open?id=1mVIEYpBnChZI0pwi-3KzpwLiGnXnNEzf
Malayalam-Image-008,Malayalam,Cinema News,,http://www.mathrubhumi.com/movies-music/news/pranav-mohanlal-in-himalayam-after-the-release-of-aadhi-movie-jeethu-joseph--1.2557797,200 kb,Image,https://drive.google.com/open?id=1h2ylD1e9HtXfPHZU0PAGVK9HadfetSOV
Malayalam-Image-009,Malayalam,Sports News,,http://www.mathrubhumi.com/sports/football/i-league-football-gokulam-fc-beats-shillong-lajong--1.2560713,225 kb,Image,https://drive.google.com/open?id=1exl5jGKwIrHZo1NzsThdCs-MV_rYftd1
Malayalam-Image-010,Malayalam,General News,,http://news.keralakaumudi.com/beta/news.php?NewsId=TkNSUDAxOTgzMDI=&xP=RExZ&xDT=MjAxOC0wMS0yMSAwMDowNTowMA==&xD=MQ==&cID=MTA=,220 kb,Image,https://drive.google.com/open?id=1fKh4qtwb9PxqjVw6Maj9RBoIPmmzoYec
Malayalam-Audio-006,Malayalam,Word Game,Speedy,Mazhavil Manorama TV reality show,471 kb,Audio,https://drive.google.com/open?id=1aQqGAAZNMN0ArQhski7yrc_ZjMXqj8RX
Malayalam-Audio-007,Malayalam,Word Game,Speedy,Mazhavil Manorama TV reality show,471 kb,Audio,https://drive.google.com/open?id=1HsWBQ99qf2SrCbUPzrVzTHBalAHAzxDS
Malayalam-Audio-008,Malayalam,Word Game,Speedy,Mazhavil Manorama TV reality show,470 kb,Audio,https://drive.google.com/open?id=1JBwd0nd1ULIqEm6CtSaQ6PZzpeoj1Yn8
Malayalam-Audio-009,Malayalam,Word Game,Speedy,Mazhavil Manorama TV reality show,470 kb,Audio,https://drive.google.com/open?id=1d2Sz1_IHwb1nRtx5Lq0ulBml15t_Hh2a
Malayalam-Audio-010,Malayalam,Word Game,Speedy,Mazhavil Manorama TV reality show,471 kb,Audio,https://drive.google.com/open?id=1wqYu4zYGOHonN7yJUnEG-LylpqpZeQcl
Odia-Image-001,Odia,News,,http://sambad.in/lifestyle/silajitbenefits-73951/,173 kb,Image,https://drive.google.com/open?id=1WbXEVI_I_OUTrRtqAmorcreCX-cYRtIJ
Odia-Image-002,Odia,Sports News,,http://sambad.in/sports/india-loss-in-final-against-belgium-73715/,289 kb,Image,https://drive.google.com/open?id=18IaKXyyziYTC6iQqeGGh74wRSQ5E_ZA_
Odia-Image-003,Odia,Cinema News,,http://sambad.in/entertainment/2-0releasedate-73933/,167 kb,Image,https://drive.google.com/open?id=11v6XFB4yOCNex4YLRVxslH9XJuJFWUMI
Odia-Image-004,Odia,News,,http://www.dharitri.com/,206 kb,Image,https://drive.google.com/open?id=1LdW_9ETlfeDP6qCh0SOM9czxJtNA_SMN
Odia-Image-005,Odia,News,,http://www.dharitri.com/main/news/19713,206 kb,Image,https://drive.google.com/open?id=1GtjaCbOpSmbrZTUyZ8kH1Nx14neSdM9Q
Hindi-Audio-001,Hindi,Agricultural,Normal,Nandakumar Gopalan,471 kb,Audio,https://drive.google.com/open?id=12dijGNeYLQFEf-GWiqYGlkBSmD_ik5Zz
Hindi-Audio-002,Hindi,Vegetable Planter Demo,Normal,Nandakumar Gopalan,471 kb,Audio,https://drive.google.com/open?id=1BxQ6ptbHGPj6-5__F6n1NGi68A2uBVNt
Hindi-Audio-003,Hindi,Vegetable Planter Demo,Normal,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=192w42F-1FAnynTsovXRsBeY4k35mi28I
Hindi-Audio-004,Hindi,Interview,Normal,Nandakumar Gopalan,471 kb,Audio,https://drive.google.com/open?id=1QEcRHO-nXBRHwAp9cDG7Hrnd2C2k5swW
Hindi-Audio-005,Hindi,Agriclulture,Normal,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=1zm7rQyZHduRi8ASKoJUNHktOkn9PMhCA
Hindi-Image-001,Hindi,News,,https://www.bhaskar.com/indian-national-news-in-hindi/news/NAT-NAN-HDLN-shopian-firing-fir-against-army-personnel-news-and-updates-5800691-NOR.html,181 kb,Image,https://drive.google.com/open?id=18zm-DhyzTQYoyNDtVbmpWF8I4bNAaPXp
Hindi-Image-002,Hindi,Herbs,,https://www.lifealth.com/hindi/nature-and-health/herbs/,193 kb,Image,https://drive.google.com/open?id=12j62fVws8EsaXt2RvLbq4zDL6gz7w94G
Hindi-Image-003,Hindi,Bitter foods,,https://www.lifealth.com/hindi/wellness/healthy-living/bitter-foods-you-must-try-for-better-health-rs/59924/,253 kb,Image,https://drive.google.com/open?id=189a5Ei81dwNXLe0LvYwMdqQjU56sI1HY
Hindi-Image-004,Hindi,Dental,,https://www.lifealth.com/hindi/nature-and-health/home-and-natural-remedies/,156 kb,Image,https://drive.google.com/open?id=1HVW7Ynb30z0Y0V9BY7LtU1mbLRoyykdg
Hindi-Image-005,Hindi,Natural remedy,,https://www.lifealth.com/hindi/nature-and-health/home-and-natural-remedies/effective-home-remedies-to-get-rid-of-lip-pimple-asr/60002/,201 kb,Image,https://drive.google.com/open?id=1y2w6Q-Nxhve9itTp-SHTNAA26DDW3q4n
Tamil-Audio-006,Tamil,Banana,Madurai dialect,Nandakumar Gopalan,471 kb,Audio,https://drive.google.com/open?id=1m9iijmilU5OhAgDkhkTqBvhduL8smJ8A
Tamil-Audio-007,Tamil,Plantains,Madurai dialect,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=1cHT_p8r2zy_yWakvtWq1GVBJ0UE_FEPU
Tamil-Audio-008,Tamil,Bus fare hike - News,Normal,Nandakumar Gopalan,491 kb,Audio,https://drive.google.com/open?id=1Y0qCDoT9mzgbWKKbf0PXyA0qqNxHV0aJ
Tamil-Audio-009,Tamil,Teenagers conversation,Chennai dialect,Nandakumar Gopalan,73 kb,Audio,https://drive.google.com/open?id=1G9Lukx7G5D6Vz9bVb8UVwaLCTTtpycD4
Tamil-Audio-010,Tamil,Rajinikanth Speech,Normal,Nandakumar Gopalan,470 kb,Audio,https://drive.google.com/open?id=1mF_VwLZhQxqn9USu7Bw8n7bf59a64qcM
Gujarati-Image-001,Gujarati,News,,https://money.divyabhaskar.co.in/news/BIZ-ECN-POLI-ECNM-budget-session-starts-with-economic-survey-from-today-5800668-PHO.html?ref=ht,218 kb,Image,https://drive.google.com/open?id=1hG5Chw4GPhlZskvCABONOnD2xV_nk2JC
Gujarati-Image-002,Gujarati,News,,https://money.divyabhaskar.co.in/news/BIZ-GUJR-ECNM-activities-in-surat-and-mumbai-diamond-business-get-affected-over-gst-query-5792868-PHO.html,241 kb,Image,https://drive.google.com/open?id=1N2pw6lpo9zrlRlQ97-OMeerGSy8nLDpC
Gujarati-Image-003,Gujarati,Wikipedia Homepage,,Wikipedia,161 kb,Image,https://drive.google.com/open?id=12r50X8J1Bb4e91WgW4CLXDKoXzeYQKna
Gujarati-Image-004,Gujarati,General article,,https://sorathnirasdhar.blogspot.in/,244 kb,Image,https://drive.google.com/open?id=1qfliqmf_YOFeCPQ3bOd-_ki_Rs4faE-1
Gujarati-Image-005,Gujarati,Poem,,http://www.readgujarati.com/2015/09/22/poetry-by-devika-dhruva/,176 kb,Image,https://drive.google.com/open?id=1CtaPlPjbZGLdIxVt-6U-ErCJDq-MqgNB
Bengali-Image-001,Bengali,News,,http://www.anandabazar.com/editorial/trouble-in-nda-paradise-bjp-should-find-out-the-reasons-dgtl-1.747355?ref=hm-new-stry,203 kb,Image,https://drive.google.com/open?id=1GhfaDFyeP--QNs4vJYFYkB51rCuuyhvH
Bengali-Image-002,Bengali,News,,http://www.anandabazar.com/calcutta/arpita-chatterjee-s-mother-don-t-believe-her-daughter-suicide-case-1.747427?ref=calcutta-new-stry,192 kb,Image,https://drive.google.com/open?id=1v-rHlMiUdp4WxJuTPlTRNR8W-QfvRLgV
Bengali-Image-003,Bengali,News,,http://www.anandabazar.com/entertainment/sushmita-sen-wants-to-comeback-in-bollywood-but-in-one-condition-dgtl-1.747710?ref=strydtl-calcutta-topnav,189 kb,Image,https://drive.google.com/open?id=1usylu9M_fw51gnWJw_JtQwOJumvp97tn
Bengali-Image-004,Bengali,News,,http://www.anandabazar.com/lifestyle/what-is-the-best-time-to-take-shower-dgtl-1.746662?ref=strydtl-entertainment-topnav,225 kb,Image,https://drive.google.com/open?id=1Y7gHXDRDpSVmlATBIIXfzH9FwC-4cZmt
Bengali-Image-005,Bengali,News,,http://www.anandabazar.com/editorial/society-and-family-have-to-listen-the-girls-1.747304?ref=strydtl-lifestyle-topnav,232 kb,Image,https://drive.google.com/open?id=1aMK565Y_e0pd-yc42-7C6cuD92p23xCO
Assamese-Image-001,Assamese,News paper,,http://asomiyapratidin.in/,312 kb,Image,https://drive.google.com/open?id=1vD6YVAMur7HsTbTGPoo2CsI06pQU-DPV
Assamese-Image-002,Assamese,News paper,,http://www.niyomiyabarta.org/,206 kb,Image,https://drive.google.com/open?id=1IEoBOXY91L20mvnL-FNyQ8717i5n4_9O
Assamese-Image-003,Assamese,News paper,,http://www.niyomiyabarta.org/,212 kb,Image,https://drive.google.com/open?id=1tO5SJoGqr_cJpVUBYt4Ajlbt6_PaWVEd
Assamese-Image-004,Assamese,News paper,,http://sadin.co.in/index.php?date=26-01-2018&page=3&year=2018&month=january&edition=4,241 kb,Image,https://drive.google.com/open?id=1NMQhMDYHgPGlIs1Rakk27ieRtWPUaAOe
Assamese-Image-005,Assamese,News paper,,http://www.aroonudaisangbad.com/,230 kb,Image,https://drive.google.com/open?id=1TETxswcUnNvOM_qaLegAcae6BHmoO-Fq
Marathi-Image-001,Marathi,News paper,,Free image from Wikicommons,225 kb,Image,https://drive.google.com/open?id=1j689fELFa1n71qypgYN5bA7ReEf3ApIt
Marathi-Image-002,Marathi,News paper,,http://www.lokmat.com/nagpur/three-thousand-e-rickshaws-run-nagpur-registration-only-500/,230 kb,Image,https://drive.google.com/open?id=1n8oInA2kLYBjOBkoDhYSpXOaotiDJGsW
Marathi-Image-003,Marathi,News paper,,http://cnxmasti.lokmat.com/bollywood/news/zeenat-aman-files-a-case-against-a-businessman-for-stalking-and-molesting-her/28844?utm_source=Lokmat.com&utm_medium=referral,137 kb,Image,https://drive.google.com/open?id=15pj6Co2ejYGMclAsd7FyCSqHIgi-PAj4
Marathi-Image-004,Marathi,News paper,,http://www.lokmat.com/sports/,219 kb,Image,https://drive.google.com/open?id=11cu9TDx5-2J1x7BBnvDx_sCYrCnbDb53
Marathi-Image-005,Marathi,News paper,,http://www.lokmat.com/mumbai/houses-should-be-served-realistic-city-researchers-opinion/,299 kb,Image,https://drive.google.com/open?id=1pKVSMzcdnVIT4KvtjeHUnpcrxvjLVWl6
Punjabi-Image-001,Punjabi,News paper,,Free image from Wikicommons,206 kb,Image,https://drive.google.com/open?id=1BzuSBUSEnrWUJl7de8l7MJNutL3SO0hW
Punjabi-Image-002,Punjabi,News paper,,http://jagbani.punjabkesari.in/punjab/news/sri-guru-ravidas-ji-birthday-827791,345 kb,Image,https://drive.google.com/open?id=1q49vMgMMEXo5Ayw3fF4fmS2mSsiGJwZ1
