Sample name,Language name,Script name,Dialect (For Audio),Source,Sample size,Sample type,Download link
Bengali-Audio-005,Bengali,Interview Tips in Bengali by Bong Motivation,Formal,https://youtu.be/XZq6CgjJSMY,471 kb,Audio,https://drive.google.com/open?id=1rX4yIrKtlo9OMMN9vDxC8IZMmA8EzjWA
Bengali-Audio-006,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=1XU9UPzZ0pkJRQBDwko8ho9bnOYmL99fU
Bengali-Audio-007,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=1k5fzHgzI8gqB_n9gGe7LkW2kdf1OmMoC
Bengali-Audio-008,Bengali,General News,Formal,DD Bengali,471 kb,Audio,https://drive.google.com/open?id=1x781ZiEsT319Mxvzk_cNm9Jrlfn8rSad
Bengali-Audio-009,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=1HzAHTMNxTG5csvKvpPZD03RK-QoLZFZu
Bengali-Audio-010,Bengali,General News,Formal,DD Bengali,470 kb,Audio,https://drive.google.com/open?id=10FzgvEkgCgRk87Uafu3d36Bo7fSxkDay
Gujarati-Audio-001,Gujarati,News,Formal,DD Gujarati,565 kb,Audio,https://drive.google.com/open?id=104ASgDPyOgnIue_tUfJ60bMFWCDHRx2E
Gujarati-Audio-002,Gujarati,News,Formal,DD Gujarati,700 kb,Audio,https://drive.google.com/open?id=10Od1hyZ4DKUVXjYuQ6Uwsm-TKA3i-Z9K
Gujarati-Audio-003,Gujarati,News,Formal,DD Gujarati,511 kb,Audio,https://drive.google.com/open?id=138McK2gVAEphQRmMVizMa237Y_-AEtlU
Gujarati-Audio-004,Gujarati,News,Formal,DD Gujarati,679 kb,Audio,https://drive.google.com/open?id=14P0F3xfsAi0a6ZLMzxCrtHV-dZmVxgFo
Gujarati-Audio-005,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1qamkJJP4PQWrZh-_FkyKl22507oopIL9
Gujarati-Audio-006,Gujarati,News,Formal,Tv9 Gujarati,471 kb,Audio,https://drive.google.com/open?id=1cwpnNScEHbX5WyYlLn9T1veF-aYQed5c
Gujarati-Audio-007,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=14Vu5fOOlgVfZztqRnC6rF5_Wh3MFa3Sf
Gujarati-Audio-008,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1ZluoyU4VSTJbJzIu7nl6O_1yNMpDo0xu
Gujarati-Audio-009,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1hbPQWcKikWr1zciWflI6Ktsxdy8QIi5_
Gujarati-Audio-010,Gujarati,News,Formal,Tv9 Gujarati,470 kb,Audio,https://drive.google.com/open?id=1tR2bDWj7hRtDRE0II4ae5PtINRm_E3AO
Gujarati-Image-006,Gujarati,News,,https://www.divyabhaskar.co.in/news/MGUJ-PAN-OMC-LCL-yakub-important-role-in-stoned-on-the-train-after-chain-pulling-gujarati-news-5803089-NOR.html,174 kb,Image,https://drive.google.com/open?id=1OPsoCrytOwmjW6aP2vKg2HoBNz6BHPjd
Gujarati-Image-007,Gujarati,News,,https://www.divyabhaskar.co.in/,145 kb,Image,https://drive.google.com/open?id=1IOAu9E2z1lOAXFBxl9zoBML4q2_mdcFH
Gujarati-Image-008,Gujarati,News,,https://bollywood.divyabhaskar.co.in/news/ENT-GOS-IFTM-sonam-kapoor-says-akshay-kumar-has-fear-of-this-gujarati-news-5793666-PHO.html,206 kb,Image,https://drive.google.com/open?id=1ihO4h0Fzmig5ZqnUnea0cNoU2atgsb0D
Gujarati-Image-009,Gujarati,News,,https://www.divyabhaskar.co.in/,232 kb,Image,https://drive.google.com/open?id=15Th3Lcwt0fMnzW-VkVreT1CaAH8l2F4N
Gujarati-Image-010,Gujarati,News,,http://sandesh.com/rajasthan-west-bengal-election-bypoll/,209 kb,Image,https://drive.google.com/open?id=1siGGo5POqTy0zlTgHMCaj7HGJQYqBdIZ
Hindi-Image-006,Hindi,General,,Wikipedia,211 kb,Image,https://drive.google.com/open?id=1UIww4QvB0z6Spdvc4eNQy1scir0gDI2Q
Hindi-Image-007,Hindi,General,,Wikipedia,177 kb,Image,https://drive.google.com/open?id=1j9XsxndhOjfHULBfuXsFI1rTT2nPdu_S
Hindi-Image-008,Hindi,General,,Wikipedia,316 kb,Image,https://drive.google.com/open?id=1KYHR14kbh1VNScmY355lYym9OHJSQh9g
Hindi-Image-009,Hindi,General,,Wikipedia,275 kb,Image,https://drive.google.com/open?id=1VOiy2q9KIv768CiuHIBiUlNxIzUP3w6M
Hindi-Image-010,Hindi,General,,Wikipedia,318 kb,Image,https://drive.google.com/open?id=1JAzj1xYhxRWQIw7RmkQXr592T5WPIYsg
Kannada-Image-006,Kannada,News,,https://vijaykarnataka.indiatimes.com/news/india/congress-sweeps-rajasthan-big-win-for-tmc-in-west-bengal/articleshow/62743572.cms,210 kb,Image,https://drive.google.com/open?id=1e--z0eQaMsP6KgPdpwZf9RH57WMrr0Yg
Kannada-Image-007,Kannada,News,,https://vijaykarnataka.indiatimes.com/pollslist/11181707.cms,119 kb,Image,https://drive.google.com/open?id=1jVWTceNPaIglxwr1KDySONoSZlQ4S364
Kannada-Image-008,Kannada,News,,http://m.prajavani.net/article/,209 kb,Image,https://drive.google.com/open?id=1uIjmG6_S_ItQ3Gg7QFGCL0--VkvQWRMs
Kannada-Image-009,Kannada,News,,http://m.prajavani.net/article/2018_02_02/551282,149 kb,Image,https://drive.google.com/open?id=1oxjM99s8ulKsxeIw0nHE3VPseTNp9aF2
Kannada-Image-010,Kannada,News,,http://www.kannadaprabha.com/,251 kb,Image,https://drive.google.com/open?id=1hyt8t_JNDxNo1RxWxxcwcJvc7xcaWT4Y
Kannada-Audio-001,Kannada,Speech,,https://youtu.be/YwdvB4_wLRw,470 kb,Audio,https://drive.google.com/open?id=1mlGLXL9rNE77HDaP9OzTqBj2eIrFXHa8
Kannada-Audio-002,Kannada,Speech,,https://youtu.be/YwdvB4_wLRw,470 kb,Audio,https://drive.google.com/open?id=1SfpYvEG9bpUKm1uPSIZo6mVNlH11528-
Kannada-Audio-003,Kannada,Speech,,https://youtu.be/YwdvB4_wLRw,470 kb,Audio,https://drive.google.com/open?id=1OAEdJUbmvQcm9WwORgpkvbbdf1gvnw2-
Kannada-Audio-004,Kannada,Speech,,https://youtu.be/YwdvB4_wLRw,470 kb,Audio,https://drive.google.com/open?id=1y0pI6pBgJ8sLFjdxal_5J5CGxd0vOvB4
Kannada-Audio-005,Kannada,Speech,,https://youtu.be/YwdvB4_wLRw,470 kb,Audio,https://drive.google.com/open?id=1SXS0VErLd5UETCUIQefI6vFKghiyPNt4
Kannada-Audio-006,Kannada,News,,DD Kannada,470 kb,Audio,https://drive.google.com/open?id=1MP2C8iNpKc1JAAA7RyQIi4ua6EOOAeTG
Kannada-Audio-007,Kannada,News,,DD Kannada,470 kb,Audio,https://drive.google.com/open?id=1v4vYjcC5w5ItRVFYTOqFptAueezg3-9L
Kannada-Audio-008,Kannada,News,,DD Kannada,470 kb,Audio,https://drive.google.com/open?id=1Fl-_IVg5gzY88lMwtb51cUsumJPqmhGo
Kannada-Audio-009,Kannada,News,,DD Kannada,470 kb,Audio,https://drive.google.com/open?id=1PMSBc1nuordDrzvVM8XpqYtLtt7QN0L0
Kannada-Audio-010,Kannada,News,,DD Kannada,470 kb,Audio,https://drive.google.com/open?id=1q1FUQPtUlvHoNnkT-ez3OAm_POh1sDkm
Marathi-Audio-006,Marathi,Dialogue,Colloquial,https://youtu.be/Y2yZ9alVcpE,470 kb,Audio,https://drive.google.com/open?id=16euwPlo8DHEIObYKUPFuq0cmUQN-1Ebv
Marathi-Audio-007,Marathi,Dialogue,Colloquial,https://youtu.be/Y2yZ9alVcpE,470 kb,Audio,https://drive.google.com/open?id=1khUXQAMNPcZTX6UC0ZP60B2Tz85omfeN
Marathi-Audio-008,Marathi,News,Formal,DD Marathi,470 kb,Audio,https://drive.google.com/open?id=1hnR3S9oaVjSxacKMlz-hR2WxCHmiZxvp
Marathi-Audio-009,Marathi,News,Formal,DD Marathi,470 kb,Audio,https://drive.google.com/open?id=1tfWkOh0rTvz8sUPGSlCZKa-4LGdAR0rO
Marathi-Audio-010,Marathi,News,Formal,DD Marathi,470 kb,Audio,https://drive.google.com/open?id=1Pq-HxJKn2DbS59Rr9DsLKcaJWx0a1qsU
Marathi-Image-006,Marathi,News,,http://www.lokmat.com/national/girl-was-allegedly-raped-bollywood-actress-during-train-trip-and-accused-arrested/,265 kb,Image,https://drive.google.com/open?id=1YLr3Ninea9iZbl4v_qQ9XXnFdT0iMzxk
Marathi-Image-007,Marathi,News,,http://www.lokmat.com/akola/two-wheeler-accident-patur-wadegaon-road-two-people-killed/,245 kb,Image,https://drive.google.com/open?id=1ZOZNciFGMGEIvMS8DBT0Q1UvQg6_XtCJ
Marathi-Image-008,Marathi,News,,http://www.lokmat.com/badminton/india-open-badminton-sindhu-saina-and-sameer-quarter-finals/,215 kb,Image,https://drive.google.com/open?id=1ik8D8MKATj3FC8dr10Ecc-XEinu9AjaT
Marathi-Image-009,Marathi,News,,http://www.lokmat.com/,242 kb,Image,https://drive.google.com/open?id=16SBD47-SqPwFZY8mCFRZ7BRSbQoJUpsu
Marathi-Image-010,Marathi,News,,http://www.lokmat.com/,248 kb,Image,https://drive.google.com/open?id=1cOGoCKyGlhjjv8n_SDJlrv6AJCdU8IrU
Odia-Audio-001,Odia,News,,DD Odia,470 kb,Audio,https://drive.google.com/open?id=12KLu2Gakvpzm7Jf4UbEaPfe1OHdQoXSW
Odia-Audio-002,Odia,News,,DD Odia,408 kb,Audio,https://drive.google.com/open?id=1iJNNXls6YKhV2SsulbFZOzQpUIdYCTmo
Odia-Audio-003,Odia,News,,DD Odia,470 kb,Audio,https://drive.google.com/open?id=1dKqHPHUzGIv7srbb9m0-S5CjbCILQ75P
Odia-Audio-004,Odia,News,,DD Odia,470 kb,Audio,https://drive.google.com/open?id=1tzXoKSzexG6FSVCUt_3vg8gw3c0ZUOOS
Odia-Audio-005,Odia,Speech (Kid),,https://youtu.be/iqNpNIK0ph0,470 kb,Audio,https://drive.google.com/open?id=1XLG8VAG0tKZ5cuGOTEg98XVn3uv0GYVJ
Odia-Audio-006,Odia,Speech (Kid),,https://youtu.be/iqNpNIK0ph0,470 kb,Audio,https://drive.google.com/open?id=15ceCZo6PB0XOzt8hlDtKpI5rD7bGyJrp
Odia-Audio-007,Odia,Speech (Kid),,https://youtu.be/iqNpNIK0ph0,470 kb,Audio,https://drive.google.com/open?id=1N85qa7baXBDugpo1oKddwkaB7M5_WtXv
Odia-Audio-008,Odia,Speech (Kid),,https://youtu.be/iqNpNIK0ph0,470 kb,Audio,https://drive.google.com/open?id=17h96GSIv1C7vWJBno7N9B2xtnPbtR87E
Odia-Audio-009,Odia,Speech (Kid),,https://youtu.be/D4dx9e8Lj_o,470 kb,Audio,https://drive.google.com/open?id=1Q6sh_bqwx1L-Y945lYGVjOj-fJYckbkK
Odia-Audio-010,Odia,Speech (Kid),,https://youtu.be/D4dx9e8Lj_o,470 kb,Audio,https://drive.google.com/open?id=1z3E51N_qvYIIpS5pRIbBHAbdncWHnsV9
Punjabi-Audio-001,Punjabi,Discussion,Formal,DD Punjabi,470 kb,Audio,https://drive.google.com/open?id=1EF3h-R3Gfl44MgHZClEA2n6bJSFrSDJB
Punjabi-Audio-002,Punjabi,Discussion,Formal,DD Punjabi,470 kb,Audio,https://drive.google.com/open?id=1R0I9UNL3q0X8CQb3VERtvGgOSac_zxye
Punjabi-Audio-003,Punjabi,Discussion,Formal,DD Punjabi,470 kb,Audio,https://drive.google.com/open?id=1qazNc6-cWCAiYOODiaXB0J9INJqZFTsh
Punjabi-Audio-004,Punjabi,Discussion,Formal,DD Punjabi,470 kb,Audio,https://drive.google.com/open?id=1El25whgHfkteVMj2TIIb8IoyDdjSePgm
Punjabi-Audio-005,Punjabi,Discussion,Formal,DD Punjabi,470 kb,Audio,https://drive.google.com/open?id=1yE-t-NgmczWQq2bKdipk5H27WniuW-ps
Punjabi-Audio-006,Punjabi,Discussion,Formal,DD Punjabi,470 kb,Audio,https://drive.google.com/open?id=14onmPvGkoPVB5jd61ticLOXW17aNPE_u
Punjabi-Audio-007,Punjabi,Motivational speech,Formal,https://youtu.be/6_k5ctlAdeI,470 kb,Audio,https://drive.google.com/open?id=1xZ04xxB05zWwq4b9yNJeok62k2loZmTr
Punjabi-Audio-008,Punjabi,Motivational speech,Formal,https://youtu.be/6_k5ctlAdeI,470 kb,Audio,https://drive.google.com/open?id=1HSd9Gc_WaapygxN838gUBxP_2pPuOc6d
Punjabi-Audio-009,Punjabi,Motivational speech,Formal,https://youtu.be/6_k5ctlAdeI,470 kb,Audio,https://drive.google.com/open?id=1KDlLGSru-E5k5x9o6cIJS6tDx9V5NsRT
Punjabi-Audio-010,Punjabi,Motivational speech,Formal,https://youtu.be/6_k5ctlAdeI,470 kb,Audio,https://drive.google.com/open?id=127L8Elh23dMZSa9AgSwVbrkD1-459TS8
Telugu-Audio-001,Telugu,Discussion,Formal,DD Telugu,470 kb,Audio,https://drive.google.com/open?id=1BrZXb7FrBpx7Owx9IUAEonuybM3g1r7H
Telugu-Audio-002,Telugu,Speech,Formal,DD Telugu,470 kb,Audio,https://drive.google.com/open?id=16C8o-T9sbxycwFa8zxlPrMu0Xut_leIo
Telugu-Audio-003,Telugu,Discussion,Formal,DD Telugu,314 kb,Audio,https://drive.google.com/open?id=1dXNtOTxIUCXn3vNllxcmtjuQ9SWIIhoV
Telugu-Audio-004,Telugu,Discussion,Formal,DD Telugu,470 kb,Audio,https://drive.google.com/open?id=1UTI7QfsNfDcC6gWL5WKK6xguT8cBRot3
Telugu-Audio-005,Telugu,Discussion,Formal,DD Telugu,470 kb,Audio,https://drive.google.com/open?id=1bni0UWQCfVrSQUEFcvyXEXslh0qHNz8u
Telugu-Audio-006,Telugu,Interview preparation,Formal,https://youtu.be/I1E20UpDRug,470 kb,Audio,https://drive.google.com/open?id=1oLGH8K5cFhmT7mQ7xIefysgL1-A5o9p1
Telugu-Audio-007,Telugu,Interview preparation,Formal,https://youtu.be/I1E20UpDRug,470 kb,Audio,https://drive.google.com/open?id=1aDQVgs-eLWvDTUtGES0Osu69GmMXOn2d
Telugu-Audio-008,Telugu,Interview preparation,Formal,https://youtu.be/I1E20UpDRug,470 kb,Audio,https://drive.google.com/open?id=17V0pAHN9a2Rsp3eX_pStw9rIg5Q5D0k1
Telugu-Audio-009,Telugu,Interview preparation,Formal,https://youtu.be/I1E20UpDRug,470 kb,Audio,https://drive.google.com/open?id=1gEASU6P6O6f3l3PtOucOjbWFXz5LkoJ6
Telugu-Audio-010,Telugu,Interview preparation,Formal,https://youtu.be/I1E20UpDRug,470 kb,Audio,https://drive.google.com/open?id=14YDJLgXq2mvhQuPG_YnncjzszrWttz45
Urdu-Audio-001,Urdu,Speech BBC Urdu,Formal,https://youtu.be/92D8tfVyqHo,470 kb,Audio,https://drive.google.com/open?id=1foIpktQ-Y4MemC0r-ndrrQpkgp2EJErj
Urdu-Audio-002,Urdu,Speech BBC Urdu,Formal,https://youtu.be/92D8tfVyqHo,470 kb,Audio,https://drive.google.com/open?id=1GH7rv1WDAj8Q2Qzc2GJGtJtzhVMLSSwa
Urdu-Audio-003,Urdu,Speech BBC Urdu,Formal,https://youtu.be/92D8tfVyqHo,470 kb,Audio,https://drive.google.com/open?id=1KF_aVEnjohYzAWr6YYlfXwpcwcgYHjeZ
Urdu-Audio-004,Urdu,Speech BBC Urdu,Formal,https://youtu.be/92D8tfVyqHo,470 kb,Audio,https://drive.google.com/open?id=1nrgm9dqBpNQauNSce9XURwyktoEOFxzq
Urdu-Audio-005,Urdu,Speech BBC Urdu,Formal,https://youtu.be/92D8tfVyqHo,470 kb,Audio,https://drive.google.com/open?id=1CXNJN03HclJIQV1Vwa4Q0sZdrlfShLTw
Urdu-Audio-006,Urdu,Interview BBC Urdu,Formal,https://youtu.be/_b_RCQH1s6U,470 kb,Audio,https://drive.google.com/open?id=1JppTOFAF4FJcbM-gR6v9Se28FHIDb1X6
Urdu-Audio-007,Urdu,Interview BBC Urdu,Formal,https://youtu.be/_b_RCQH1s6U,470 kb,Audio,https://drive.google.com/open?id=1hu9pEbV2HL-AYcakbfncxp2LdDXru2hJ
Urdu-Audio-008,Urdu,Interview BBC Urdu,Formal,https://youtu.be/_b_RCQH1s6U,470 kb,Audio,https://drive.google.com/open?id=1OhwtD1rMbEGdUaJsdm2Zf_XUzBdo2_UW
Urdu-Audio-009,Urdu,Interview BBC Urdu,Formal,https://youtu.be/_b_RCQH1s6U,470 kb,Audio,https://drive.google.com/open?id=1IONEo4VK1XNEfhWHGXHzkq-8mXEpiyza
Urdu-Audio-010,Urdu,Interview BBC Urdu,Formal,https://youtu.be/_b_RCQH1s6U,470 kb,Audio,https://drive.google.com/open?id=1ZZW5tL3bwaoXkNG1y5UclgrGOO8p_8p8
Urdu-Image-006,Urdu,News BBC,,http://www.bbc.com/urdu/world-42928775,157 kb,Image,https://drive.google.com/open?id=1OeyPvsMM6qjvkX1RvLMk2CcKe_u7b3KT
Urdu-Image-007,Urdu,News BBC,,http://www.bbc.com/urdu/sport,147 kb,Image,https://drive.google.com/open?id=1in8ED6gr9dv3kaIDUgg1DozJ7nql1BN2
Urdu-Image-008,Urdu,News BBC,,http://www.bbc.com/urdu/sport-42900994,175 kb,Image,https://drive.google.com/open?id=1rJCQ84u0Py-x5vTgsJwlBoiRbdDZENaI
Urdu-Image-009,Urdu,News BBC,,http://www.bbc.com/urdu/science-42914121,161 kb,Image,https://drive.google.com/open?id=1VUImWaLRKAjVlUf4K-_tfO58A8aEdvab
Urdu-Image-010,Urdu,News BBC,,http://www.bbc.com/urdu/regional-42899514,141 kb,Image,https://drive.google.com/open?id=1ZdDufv7PZCZex8hPK4ANKUbCVZT4YLom
Telugu-Image-006,Telugu,News,,http://www.eenadu.net/,171 kb,Image,https://drive.google.com/open?id=1Hmxd9ZfdAhY5hJ1y0PMLK8Xrp6J5aRxA
Telugu-Image-007,Telugu,News,,http://www.eenadu.net/telangana-news-inner.aspx?category=home&item=break65,205 kb,Image,https://drive.google.com/open?id=1wtIrlZhprE9OOy8Jrm4X-fwhKbzdLpxF
Telugu-Image-008,Telugu,News,,http://www.eenadu.net/homeinner.aspx?category=cinema&item=break9,171 kb,Image,https://drive.google.com/open?id=1AM2JLrzMnugVIi87x7FHgQrbkboQRoER
Telugu-Image-009,Telugu,News,,http://www.eenadu.net/business/business-news.aspx?item=business-news&no=1,218 kb,Image,https://drive.google.com/open?id=1M9R4JulnLMWLt94jv_cxsRF1KBmsQApC
Telugu-Image-010,Telugu,News,,http://www.eenadu.net/movies/latest-movie-news.aspx?item=tollywood&no=8,197 kb,Image,https://drive.google.com/open?id=1Fq9eS5OxweeaSa1O9YksgN-5NsHnFknE
Telugu-Audio-011,Telugu,TV Program,Formal,DD Telugu,580 kb,Audio,https://drive.google.com/open?id=1MGowL5jHkeL7wcpM97h8wW4egO9GDnm1
Telugu-Audio-012,Telugu,TV Program,Formal,DD Telugu,547 kb,Audio,https://drive.google.com/open?id=1ubQU1v3CvX4D54uzk7ZWlz20d677Dphf
Telugu-Audio-013,Telugu,TV Program,Formal,DD Telugu,589 kb,Audio,https://drive.google.com/open?id=1NHT_6mmX7z3lM6EEr3jUXL8f8M_xLbrl
Telugu-Audio-014,Telugu,TV Program,Formal,DD Telugu,605 kb,Audio,https://drive.google.com/open?id=14lFeznLA298rXZ3oOvHsc3kiPQ6EAPnI
Telugu-Audio-0115,Telugu,TV Program,Formal,DD Telugu,661 kb,Audio,https://drive.google.com/open?id=13pyA6uzPKBjxt3mYclwn0rHXPvouxUBC
Malayalam-Handwritten,Malayalam,Handwritten,,Nandakumar Gopalan,387 kb,Image,https://drive.google.com/open?id=1jaK65FqXhGtnYkkEYmANdcqRl5fvc2XF
Tamil-Handwritten,Tamil,Handwritten,,Nandakumar Gopalan,321 kb,Image,https://drive.google.com/open?id=155FL8HZ32MRaqHBUEribdvnqsDHwJkPr